Abbeyfeale|058/0000001
Abbeyleix|058/0000002
Abbots Langley|058/0000003
Aberaeron|058/0000004
Aberdare (town)|058/0000005
Aberdeen|058/0000006
Aberdeen City|058/0000007
Aberdeenshire|058/0000008
Aberdovey|058/0000009
Aber Falls|058/0000010
Aberfan|058/0000011
Aberfeldy|058/0000012
Aberfoyle|058/0000013
Abergavenny|058/0000014
Abergele|058/0000015
Abernethy|058/0000016
Abertawe|058/0000017
Abertillery|058/0000018
Aberystwyth|058/0000019
Abingdon|058/0000020
Abinger Common|058/0000021
Accrington|058/0000022
Achill Island|058/0000023
Addiscombe|058/0000024
Adelphi|058/0000025
Adwick le Street|058/0000026
Ailsa Craig|058/0000027
Airdrie|058/0000028
Aire|058/0000029
Alba|058/0000030
Albury (UK)|058/0000031
Aldborough|058/0000032
Aldeburgh|058/0000033
Alderley Edge|058/0000034
Aldermaston|058/0000035
Alderney|058/0000036
Aldersgate|058/0000037
Aldershot|058/0000038
Aldgate|058/0000039
Aldridge|058/0000040
Aldwych|058/0000041
Alexandria (Scotland)|058/0000042
Alford (Aberdeenshire)|058/0000043
Alford (Lincolnshire)|058/0000044
Alfreton|058/0000045
Allen, Bog of|058/0000046
Allen, Lough|058/0000047
Alloa|058/0000048
Alloway|058/0000049
Aln|058/0000050
Alness|058/0000051
Alnwick|058/0000052
Alsager|058/0000053
Alston|058/0000054
Althorp|058/0000055
Alton (Hampshire)|058/0000056
Alton Towers|058/0000057
Altrincham|058/0000058
Alva|058/0000059
Alwen|058/0000060
Alyn|058/0000061
Alyth|058/0000062
Amble|058/0000063
Ambleside|058/0000064
Amersham|058/0000065
Amesbury|058/0000066
Amlwch|058/0000067
Ammanford|058/0000068
Ampthill|058/0000069
Ancaster|058/0000070
Ancrum|058/0000071
Andover|058/0000072
Anglesey (Wales)|058/0000073
Angus|058/0000074
Annan (river)|058/0000075
Annan (town)|058/0000076
Anstruther|058/0000077
An Teallach|058/0000078
Antrim (county)|058/0000079
Antrim (town)|058/0000080
Antrim (region)|058/0000081
Appin|058/0000082
Appleby|058/0000083
Applecross|058/0000084
Aran Islands|058/0000085
Arbroath|058/0000086
Ardagh (County Limerick)|058/0000087
Ardagh (County Longford)|058/0000088
Ardee|058/0000089
Arden, Forest of|058/0000090
Ardfert|058/0000091
Ardglass|058/0000092
Ardingly|058/0000093
Ardmore|058/0000094
Ardnacrusha|058/0000095
Ardrishaig|058/0000096
Ardrossan|058/0000097
Ards|058/0000098
Ardyne Point|058/0000099
Argyll and Bute|058/0000100
Argyllshire|058/0000101
Arklow|058/0000102
Armadale|058/0000103
Armagh (county)|058/0000104
Armagh (city)|058/0000105
Armagh (region)|058/0000106
Arnold|058/0000107
Arran|058/0000108
Arrochar|058/0000109
Arthur's Seat|058/0000110
Arun|058/0000111
Arundel|058/0000112
Ascot|058/0000113
Ashbourne|058/0000114
Ashburton|058/0000115
Ashby-de-la-Zouch|058/0000116
Ashdown|058/0000117
Ashdown Forest|058/0000118
Ashford|058/0000119
Ashingdon|058/0000120
Ashington|058/0000121
Ashover|058/0000122
Ashridge Park|058/0000123
Ashtead|058/0000124
Ashton-under-Lyne|058/0000125
Askeaton|058/0000126
Askern|058/0000127
Aspatria|058/0000128
Assynt, Loch|058/0000129
Athboy|058/0000130
Athenry|058/0000131
Atherstone|058/0000132
Atherton|058/0000133
Athlone|058/0000134
Atholl, Forest of|058/0000135
Athy|058/0000136
Attleborough|058/0000137
Auburn (Ireland)|058/0000138
Auchinleck|058/0000139
Auchterarder|058/0000140
Auchtermuchty|058/0000141
Aughrim (County Wicklow)|058/0000142
Aultbea|058/0000143
Aurigny|058/0000144
Aviemore|058/0000145
Avoca (village)|058/0000146
Avon (county)|058/0000147
Avon (Northamptonshire, Warwickshire)|058/0000148
Avonmouth|058/0000149
Avon Water|058/0000150
Awe (river)|058/0000151
Awe, Loch|058/0000152
Axbridge|058/0000153
Axe (Dorset and Devon)|058/0000154
Axe (Somerset)|058/0000155
Axholme, Isle of|058/0000156
Axminster|058/0000157
Aylesbury|058/0000158
Aylesford|058/0000159
Aylesham|058/0000160
Aylsham|058/0000161
Ayot St Lawrence|058/0000162
Ayr|058/0000163
Ayr (river)|058/0000164
Ayrshire|058/0000165
Babbacombe|058/0000166
Backs, The|058/0000167
Bacup|058/0000168
Badminton|058/0000169
Bagshot|058/0000170
Baildon|058/0000171
Baile &Aacute;tha Cliath|058/0000172
Bakewell|058/0000173
Bala|058/0000174
Bala Lake|058/0000175
Balbriggan|058/0000176
Baldock|058/0000177
Ballantrae|058/0000178
Ballater|058/0000179
Ballina|058/0000180
Ballinasloe|058/0000181
Ballinrobe|058/0000182
Balloch|058/0000183
Ballybay|058/0000184
Ballybunion|058/0000185
Ballycastle|058/0000186
Ballyclare|058/0000187
Ballycotton|058/0000188
Ballymahon|058/0000189
Ballymena (town)|058/0000190
Ballymena (region)|058/0000191
Ballymoney (town)|058/0000192
Ballymoney (region)|058/0000193
Ballymote|058/0000194
Ballynahinch (County Down)|058/0000195
Ballynahinch (County Galway)|058/0000196
Ballyshannon|058/0000197
Balquhidder|058/0000198
Baltimore (Republic of Ireland)|058/0000199
Baltinglass|058/0000200
Bamburgh Castle|058/0000201
Bampton|058/0000202
Banagher|058/0000203
Banbridge (town)|058/0000204
Banbridge (region)|058/0000205
Banbury|058/0000206
Banchory|058/0000207
Bandon (river)|058/0000208
Bandon (town)|058/0000209
Banff|058/0000210
Banffshire|058/0000211
Bangor (Northern Ireland)|058/0000212
Bangor (Wales)|058/0000213
Bann|058/0000214
Bannockburn|058/0000215
Banstead|058/0000216
Bantry|058/0000217
Bardsey Island|058/0000218
Barfreston|058/0000219
Barking and Dagenham|058/0000220
Barkway|058/0000221
Barmouth|058/0000222
Barnet|058/0000223
Barnsley|058/0000224
Barnstaple|058/0000225
Baronscourt|058/0000226
Barra|058/0000227
Barrhead|058/0000228
Barrow (river)|058/0000229
Barrow-in-Furness|058/0000230
Barrow-on-Humber|058/0000231
Barry (town)|058/0000232
Barry Links|058/0000233
Barton-upon-Humber|058/0000234
Barton-upon-Irwell|058/0000235
Basildon|058/0000236
Basingstoke|058/0000237
Basingwerk|058/0000238
Bassenthwaite|058/0000239
Bass Rock|058/0000240
Bath|058/0000241
Bath and North East Somerset|058/0000242
Bathgate|058/0000243
Batley|058/0000244
Battersea|058/0000245
Battle|058/0000246
Bawtry|058/0000247
Bayswater|058/0000248
Beachy Head|058/0000249
Beaconsfield (town)|058/0000250
Beaminster|058/0000251
Beattock|058/0000252
Beaulieu|058/0000253
Beauly (town)|058/0000254
Beauly Firth|058/0000255
Beaumaris|058/0000256
Bebington|058/0000257
Beccles|058/0000258
Bedale|058/0000259
Beddgelert|058/0000260
Beddington|058/0000261
Bedford|058/0000262
Bedfordshire|058/0000263
Bedlington (town)|058/0000264
Bedruthan Steps|058/0000265
Beds|058/0000266
Beeston and Stapleford|058/0000267
Beith|058/0000268
Belfast (city)|058/0000269
Belfast (region)|058/0000270
Belfast Lough|058/0000271
Belford|058/0000272
Belgravia|058/0000273
Belleek|058/0000274
Bellingham (UK)|058/0000275
Bell Rock|058/0000276
Bellshill and Mossend|058/0000277
Belper|058/0000278
Belturbet|058/0000279
Benbecula|058/0000280
Benbulben|058/0000281
Ben Cruachan|058/0000282
Benfleet|058/0000283
Ben Lawers|058/0000284
Ben Lomond|058/0000285
Ben Macdhui|058/0000286
Ben More|058/0000287
Ben Nevis|058/0000288
Bentley (Hampshire)|058/0000289
Ben Venue|058/0000290
Ben Vorlich|058/0000291
Ben Wyvis|058/0000292
Bere Ferrers|058/0000293
Bere Island|058/0000294
Berkeley (Gloucestershire)|058/0000295
Berkhamsted|058/0000296
Berks|058/0000297
Berkshire|058/0000298
Berwickshire|058/0000299
Berwick-upon-Tweed|058/0000300
Bessbrook|058/0000301
Bethesda|058/0000302
Betws-y-coed|058/0000303
Beverley|058/0000304
Bewdley|058/0000305
Bexhill-on-Sea|058/0000306
Bexley|058/0000307
Bibury|058/0000308
Bicester|058/0000309
Biddenden|058/0000310
Biddulph|058/0000311
Bideford|058/0000312
Biggar|058/0000313
Biggleswade|058/0000314
Bignor|058/0000315
Billericay|058/0000316
Billingham|058/0000317
Billingsgate|058/0000318
Bilston|058/0000319
Bingley|058/0000320
Birchington|058/0000321
Birdcage Walk|058/0000322
Birdoswald|058/0000323
Birkenhead|058/0000324
Birmingham (UK)|058/0000325
Birr|058/0000326
Bishop Auckland|058/0000327
Bishop's Castle|058/0000328
Bishop's Stortford|058/0000329
Bishop's Waltham|058/0000330
Bisley|058/0000331
Blackburn (city)|058/0000332
Blackburn with Darwen (authority)|058/0000333
Black Country|058/0000334
Blackfriars Bridge|058/0000335
Blackheath|058/0000336
Black Isle|058/0000337
Black Mountain|058/0000338
Black Mountains|058/0000339
Blackpool (authority)|058/0000340
Blackpool (town)|058/0000341
Blackrock (Cork)|058/0000342
Blackrock (County Louth)|058/0000343
Blackrock (Dublin)|058/0000344
Blacksod Bay|058/0000345
Blackwall|058/0000346
Blackwall Tunnel|058/0000347
Blackwater (river, Northern Ireland)|058/0000348
Blackwater (river, Republic of Ireland)|058/0000349
Blaenau Ffestiniog|058/0000350
Blaenau Gwent|058/0000351
Blaenavon|058/0000352
Blair Atholl|058/0000353
Blairgowrie and Rattray|058/0000354
Blakeney|058/0000355
Blandford Forum|058/0000356
Blantyre (Scotland)|058/0000357
Blarney|058/0000358
Blaskets|058/0000359
Blaydon|058/0000360
Blea Tarn|058/0000361
Blessington|058/0000362
Bletchingley|058/0000363
Bletchley|058/0000364
Bloomsbury|058/0000365
Blue John Cavern|058/0000366
Blyth (Northumberland)|058/0000367
Blyth (Nottinghamshire)|058/0000368
Bocking|058/0000369
Boddam|058/0000370
Bodiam|058/0000371
Bodmin|058/0000372
Bognor Regis|058/0000373
Bolsover|058/0000374
Bolt Head|058/0000375
Bolton|058/0000376
Bonchurch|058/0000377
Bond Street|058/0000378
Bo'ness|058/0000379
Bonhill|058/0000380
Bonnyrigg and Lasswade|058/0000381
Bootle|058/0000382
Borders|058/0000383
Boroughbridge|058/0000384
Borrowdale|058/0000385
Borthwick Castle|058/0000386
Boscastle|058/0000387
Boscobel|058/0000388
Bosham|058/0000389
Boston (UK)|058/0000390
Bothwell|058/0000391
Botley|058/0000392
Bourne|058/0000393
Bournemouth (authority)|058/0000394
Bournemouth (town)|058/0000395
Bovey Tracey|058/0000396
Bowdon|058/0000397
Bowness-on-Windermere|058/0000398
Bow Street|058/0000399
Box Hill|058/0000400
Boyle|058/0000401
Boyne|058/0000402
Brackley|058/0000403
Bracknell|058/0000404
Bracknell Forest|058/0000405
Braco|058/0000406
Bradfield|058/0000407
Bradford|058/0000408
Bradford-on-Avon|058/0000409
Brading|058/0000410
Braemar|058/0000411
Braintree|058/0000412
Bramber|058/0000413
Brampton|058/0000414
Brancaster|058/0000415
Brandon (UK)|058/0000416
Bray (England)|058/0000417
Bray (Republic of Ireland)|058/0000418
Breadalbane|058/0000419
Brechin|058/0000420
Breckland|058/0000421
Brecknockshire|058/0000422
Brecon|058/0000423
Brecon Beacons|058/0000424
Brendon Hills|058/0000425
Brent|058/0000426
Brentwood|058/0000427
Bressay|058/0000428
Brewood|058/0000429
Bridgend (authority)|058/0000430
Bridgend (town)|058/0000431
Bridge of Allan|058/0000432
Bridge of Weir|058/0000433
Bridgewater Canal|058/0000434
Bridgnorth|058/0000435
Bridgwater|058/0000436
Bridlington|058/0000437
Bridport|058/0000438
Brierley Hill|058/0000439
Brigg|058/0000440
Brightlingsea|058/0000441
Brighton|058/0000442
Brighton and Hove|058/0000443
Brill (village in England)|058/0000444
Bristol (UK)|058/0000445
Bristol Channel|058/0000446
Bristol City|058/0000447
Britain|058/0000448
Briton Ferry|058/0000449
Brixham|058/0000450
Brixton|058/0000451
Broads, Norfolk|058/0000452
Broadstairs|058/0000453
Broadway|058/0000454
Brodick|058/0000455
Bromley|058/0000456
Bromsgrove|058/0000457
Bromyard|058/0000458
Brora|058/0000459
Brotton|058/0000460
